"Face","Mean_Theta_Drug","Mean_Theta_NoDrug"
"V82",-1.62900862215275,-0.666304503611422
"V83",-1.75342196936118,-0.682048243167135
"V84",-1.7894018453379,-0.627624068581119
"V85",-1.44299757533053,-0.657163965514215
"V86",-1.27837091962154,-0.628785204859315
"V87",-1.31050559619723,-0.627088596335353
"V88",-1.30412506564681,-0.599491173783046
"V89",-1.64148618025203,-0.619850124758698
"V90",-1.51700348149719,-0.65422746216179
"V91",-1.50531114744331,-0.630612556068218
"V92",-1.35105432350193,-0.59996441967861
"V93",-1.61343200478416,-0.588186636190137
"V94",-1.3606521831085,-0.575430483968543
"V95",-1.4021635175358,-0.564556992774612
"V96",-1.39948541570596,-0.519665159203263
"V97",-2.08147660076663,-0.434370767967432
"V98",-2.08350348819699,-0.525537355812141
"V99",-2.09720808169708,-0.469754617919077
"V100",-2.02123536819406,-0.478297828220352
"V101",-2.08965809461633,-0.5984314630344
"V102",-2.02899632191717,-0.68267467628242
"V103",-2.03396236449252,-0.613666030270764
"V104",-1.89285496222399,-0.635104160582389
"V105",-1.91747742388804,-0.507054101512981
"V106",-2.08969876899729,-0.545208982938897
"V107",-1.98097645028377,-0.552116947156097
"V108",-1.86765509769159,-0.568473797335783
"V109",-1.73979067362893,-0.512438590350612
"V110",-1.70069733155593,-0.571433890679901
"V111",-1.63756868580671,-0.542086475200302
"V112",-1.47797120392276,-0.506967166876441
"V113",-2.08031224737377,-0.38846145076721
"V114",-2.04500932516225,-0.43546644755803
"V115",-2.11790733833276,-0.406769269381474
"V116",-2.08668218761055,-0.350515692334946
"V117",-1.66689232982562,-0.466772465557823
"V118",-1.31360855196073,-0.470352238158903
"V119",-1.52310612032782,-0.433792788226087
"V120",-1.40499005336442,-0.379804328715972
"V121",-1.98907940356133,-0.328472858680273
"V122",-1.93534879827299,-0.42769823498779
"V123",-1.72836630961714,-0.383461762680856
"V124",-1.60053084484296,-0.346146271608191
"V125",-1.8533903086046,-0.301646104050067
"V126",-1.50018985787635,-0.309924288990289
"V127",-1.81281204813763,-0.263953122923492
"V128",-1.80342503402146,-0.218391909933959
"V129",-1.78118657799761,-1.22090896428358
"V130",-1.94439979622608,-0.921149102519943
"V131",-1.852906045616,-1.09052581117077
"V132",-1.84833801633517,-1.0082411571957
"V133",-2.08924490548053,-0.62184296022773
"V134",-2.18428750150135,-0.433769113885076
"V135",-2.17920108619299,-0.589858801028531
"V136",-2.13757344520414,-0.434880361104457
"V137",-1.88782571379032,-0.869291660541819
"V138",-2.05813487080413,-0.798502116261571
"V139",-1.97736120107357,-0.679908821143355
"V140",-2.05525521512124,-0.607282447792679
"V141",-1.86470811919739,-0.753404169539188
"V142",-1.99425769087599,-0.46455005011825
"V143",-1.96275232560303,-0.644408593557669
"V144",-1.9151935741631,-0.533443037587563
"V145",-2.21987970805097,-0.29058276095969
"V146",-2.27103569578016,-0.352850053939854
"V147",-2.2576007078547,-0.32882902614519
"V148",-2.20797148093422,-0.301751860157362
"V149",-2.36389587482321,-0.471112716157696
"V150",-2.46190122774428,-0.590189344631207
"V151",-2.41001832181337,-0.498551083070668
"V152",-2.2986273824754,-0.497910002239481
"V153",-2.29594694098129,-0.355040096417009
"V154",-2.35760307109329,-0.415816665430081
"V155",-2.28279507295109,-0.412450643200594
"V156",-2.34439823138749,-0.426287987684364
"V157",-2.216193977002,-0.350402071721007
"V158",-2.20597729976693,-0.438230957645086
"V159",-2.26940296528756,-0.361933625724191
"V160",-2.13317056312503,-0.391722817615049
"V161",-2.02153426716878,-0.391019947156266
"V162",-2.11664752252227,-0.431201508172214
"V163",-2.02105134190991,-0.376718321693718
"V164",-2.11925413836871,-0.32232231672671
"V165",-2.20114201873469,-0.437498815229764
"V166",-2.20455326631257,-0.445392094343705
"V167",-2.16034892122205,-0.315017692935388
"V168",-2.22002627508137,-0.319368911191697
"V169",-2.15726735532429,-0.323346834329304
"V170",-2.12347808743071,-0.34588843298921
"V171",-2.17595142502422,-0.319818007522208
"V172",-2.1847927335158,-0.30462427295022
